total_tasks,completed_tasks,avg_task_delay,budget_allocated,budget_spent,team_size,team_experience,sprint_velocity,past_delay_rate,completion_rate,budget_burn_rate,productivity_score,delayed
221,198,1.604001053,271796,147259.492,8,9.540826003,96.99599988,0.329073779,0.895927602,0.541801542,12.12449999,0
57,122,3.340088787,117843,114325.339,14,2.283008995,49.90951926,0.314587633,2.140350877,0.970149597,3.564965661,0
224,185,2.386900313,89901,81589.3048,4,4.439255273,38.88973411,0.512088577,0.825892857,0.907546132,9.722433527,0
84,211,9.300903505,323349,385802.6389,8,5.99258623,57.34846119,0.940690188,2.511904762,1.193146226,7.168557649,0
255,245,1.058340938,498877,332956.0695,9,1.690822557,71.89922857,0.047781365,0.960784314,0.667411144,7.988803175,0
130,57,6.98990738,436805,380682.6113,7,1.037686993,34.61270638,0.352230975,0.438461538,0.871516149,4.944672341,1
213,69,1.892215398,318050,303950.8863,5,7.033909004,76.28258572,0.856571989,0.323943662,0.955670135,15.25651714,1
99,117,8.816371328,445807,424057.7805,6,6.776375651,14.64916214,0.396054477,1.181818182,0.951213822,2.441527023,0
153,101,9.613152882,437720,390842.5867,6,4.69709929,14.43650435,0.199156898,0.660130719,0.89290548,2.406084058,1
181,49,4.654700088,112987,117941.4356,8,5.406796684,44.76589346,0.424794181,0.270718232,1.043849607,5.595736683,1
51,98,8.790714802,392829,252780.2945,12,4.738987005,41.81258729,0.385552501,1.921568627,0.643486847,3.484382274,0
183,110,0.051451708,422598,425953.0225,3,1.216045404,38.40698938,0.915416201,0.601092896,1.00793904,12.80232979,1
103,198,8.199469174,417631,389989.7582,13,4.018344456,54.19177864,0.761934376,1.922330097,0.9338142,4.168598357,0
155,210,2.286251615,104400,117685.1692,6,2.593740299,38.86602241,0.505115556,1.35483871,1.127252578,6.477670401,0
53,245,9.087013093,206222,225408.0921,12,1.885817702,27.30321266,0.988370567,4.622641509,1.093036107,2.275267722,0
103,71,0.011201115,81852,58982.79081,6,9.610483905,37.85225942,0.465277531,0.689320388,0.720602927,6.308709903,0
270,185,5.56181735,486086,337035.5674,12,6.394237525,97.74138455,0.058237831,0.685185185,0.693366127,8.145115379,0
240,244,7.566358038,364900,433193.7085,3,7.557906558,47.00020753,0.262274322,1.016666667,1.187157327,15.66673584,0
195,235,2.586883307,427501,371534.9745,11,3.838273689,50.02414992,0.43607048,1.205128205,0.869085627,4.547649992,0
267,98,1.931328646,169052,191788.5938,6,4.538324165,61.8890491,0.156902624,0.367041199,1.134494675,10.31484152,1
93,49,0.840982245,106481,65455.65071,9,3.132315945,98.50066916,0.947565126,0.52688172,0.614716717,10.9445188,0
211,125,3.264335765,313427,297747.2628,14,1.872691039,31.74411488,0.766848898,0.592417062,0.94997324,2.267436777,1
251,70,5.598443123,83691,89290.10626,5,2.611284737,71.31538995,0.2682872,0.278884462,1.066902131,14.26307799,1
239,100,1.158438568,444341,516847.0868,12,8.177626408,74.43862242,0.590804534,0.418410042,1.163176675,6.203218535,1
277,152,3.76695362,248137,182663.0994,14,7.097912247,64.65919751,0.721449157,0.548736462,0.736138099,4.618514108,1
63,48,0.090724047,76170,76740.271,5,5.922359884,17.97205057,0.941278929,0.761904762,1.007486819,3.594410113,1
144,151,8.186794205,58438,51260.00824,10,5.275808856,70.91850482,0.881635349,1.048611111,0.877169106,7.091850482,1
97,157,1.284487181,332239,180219.8056,10,9.301908553,15.76852399,0.515192226,1.618556701,0.542440248,1.576852399,0
64,203,2.833429483,197226,193873.1217,13,1.65461453,63.65283846,0.77465262,3.171875,0.982999816,4.896372189,0
249,164,0.184277187,451220,443579.7583,14,3.525407319,76.56230595,0.562144754,0.658634538,0.983067591,5.468736139,0
255,93,4.322407839,321896,370639.0256,3,4.149440682,28.98729016,0.55270389,0.364705882,1.151424763,9.662430052,1
264,36,8.401215027,105426,89413.76336,12,8.04183231,85.74598068,0.114741958,0.136363636,0.848118712,7.14549839,1
298,103,3.921512114,289968,191719.7793,4,9.932631581,12.7318425,0.126137658,0.345637584,0.661175644,3.182960624,0
239,235,1.794973234,338963,180055.3411,10,3.166034633,85.94315773,0.529533615,0.983263598,0.531194676,8.594315773,0
89,88,7.536988341,404195,319697.8456,3,8.868766007,51.42961456,0.268861545,0.988764045,0.790949531,17.14320485,0
262,53,7.888069819,205289,146030.6242,14,8.475604844,29.58291459,0.021036902,0.202290076,0.71134169,2.113065328,1
257,25,1.737534753,311501,321706.3379,10,3.021916579,22.04003305,0.722839204,0.097276265,1.032761814,2.204003305,1
286,72,7.708541085,269780,201792.0503,10,4.593993222,95.79764508,0.032486597,0.251748252,0.747987435,9.579764508,1
131,213,9.472978883,345138,401861.3742,4,4.687055824,16.53990288,0.595276841,1.625954198,1.164349837,4.134975721,0
160,224,1.663775869,196108,230155.7105,6,9.803986017,27.91840779,0.539193794,1.4,1.173617142,4.653067966,0
102,145,7.709842925,258347,241460.4101,8,2.628027112,41.30401127,0.968814691,1.421568627,0.934636013,5.163001409,0
73,62,7.085720046,147756,169928.5906,14,8.19242174,65.82113641,0.484213139,0.849315068,1.150062201,4.701509743,1
203,222,4.735738884,492632,508690.8382,13,4.007734428,59.03209767,0.063601436,1.093596059,1.032598041,4.54093059,0
266,134,0.579204606,452803,399735.2802,11,7.577833112,21.30791432,0.551687968,0.503759398,0.882801749,1.93708312,1
237,130,0.746944178,145665,91217.68879,10,4.780099039,36.07551854,0.841096171,0.548523207,0.626215555,3.607551854,0
173,170,8.524146592,181717,149193.0298,14,6.205237868,31.4876594,0.996849284,0.98265896,0.82101856,2.249118528,1
286,202,9.901483728,212002,189235.5556,10,8.49350596,29.2188569,0.430343174,0.706293706,0.892612124,2.92188569,1
90,99,6.760522572,311691,344347.8343,9,8.237490085,47.00299028,0.320298742,1.1,1.104773107,5.222554476,0
206,114,4.45958307,131835,110337.11,11,8.797808652,73.36283073,0.906653297,0.553398058,0.836933364,6.669348248,1
64,222,6.475736434,172232,194341.813,4,1.536555928,29.5707639,0.191242129,3.46875,1.128372271,7.392690975,0
94,137,5.943958592,473306,460074.3925,5,7.228454977,43.00109917,0.615428915,1.457446809,0.972044285,8.600219835,0
114,163,3.836122604,268561,160035.3238,12,2.25988639,45.18256842,0.405714424,1.429824561,0.595899344,3.765214035,0
138,27,0.656261446,495358,592689.3868,10,4.742367112,97.88108765,0.041082365,0.195652174,1.196486959,9.788108765,1
120,151,8.215129474,293051,254679.7409,8,5.937295735,95.91997212,0.347288474,1.258333333,0.869062863,11.98999651,0
58,123,3.718335292,207547,160703.8097,12,4.624655363,82.01238245,0.265228523,2.120689655,0.774300807,6.834365204,0
137,151,8.187856434,462104,444257.3749,11,5.676505082,31.74930287,0.686091154,1.102189781,0.961379635,2.886300261,0
178,203,2.525087497,93732,54010.75167,12,9.968736779,16.12335827,0.948790498,1.140449438,0.57622532,1.343613189,0
285,44,0.010294798,262695,248398.3639,6,2.216955823,38.52137239,0.268047187,0.154385965,0.945577053,6.420228732,1
185,214,1.589382833,358449,304239.0373,10,7.079104408,34.01150945,0.811465939,1.156756757,0.8487652,3.401150945,0
265,115,4.685394168,227109,178206.039,12,4.564008697,55.53332201,0.055359817,0.433962264,0.784671849,4.627776834,0
112,214,9.44303635,59346,69263.54832,5,2.19708819,79.99551191,0.53812101,1.910714286,1.167114015,15.99910238,0
188,174,1.021936197,312731,270755.5577,5,2.42863087,87.2490645,0.070550064,0.925531915,0.865777802,17.4498129,0
292,112,8.542097745,62763,41008.22925,10,9.543457956,86.03776769,0.934032991,0.383561644,0.653382236,8.603776769,1
130,179,5.270240962,240237,197300.5066,7,8.91641347,42.37080051,0.766351281,1.376923077,0.821274436,6.052971501,0
185,197,8.259207658,288553,329980.8956,5,9.163377644,71.85109091,0.657949911,1.064864865,1.143571183,14.37021818,1
212,80,2.98374431,381759,237937.7217,12,9.923794982,38.15507778,0.823896382,0.377358491,0.62326683,3.179589815,1
212,141,8.399471647,479332,311455.5187,13,2.87483851,15.48149889,0.647519796,0.66509434,0.649769927,1.19088453,1
82,70,7.7282278,170987,87053.02069,3,4.198954036,73.1408739,0.968944397,0.853658537,0.509120697,24.3802913,0
172,166,2.30053683,266823,136061.8621,5,7.022971269,10.88447973,0.713957948,0.965116279,0.509933035,2.176895946,0
54,40,1.313351264,141353,152742.3963,14,5.354222859,46.82643287,0.92465861,0.740740741,1.080574139,3.344745205,1
283,24,8.680543225,271373,274761.3157,11,4.7655058,39.64413424,0.517131892,0.084805654,1.012485825,3.604012203,1
280,229,9.632366534,407792,305244.0317,7,4.220301244,72.40397847,0.117064413,0.817857143,0.74852874,10.3434255,0
299,111,0.313023137,75556,74711.11846,14,6.344025687,78.96209255,0.528177721,0.371237458,0.98881781,5.640149468,1
90,189,7.31270067,371186,288279.4349,12,6.180340858,37.36851724,0.126872828,2.1,0.776644148,3.114043103,0
77,80,9.095245109,68099,79473.42324,4,2.453120507,83.0464313,0.592493479,1.038961039,1.167027757,20.76160783,1
184,41,8.573600921,421233,495764.6515,9,5.245658538,36.45250845,0.482493061,0.222826087,1.176936877,4.050278716,1
250,168,9.645204723,226168,175270.1679,4,5.981245986,50.1693724,0.622575398,0.672,0.774955643,12.5423431,1
121,89,7.600940784,253058,277846.381,6,6.132582449,75.43166743,0.010046981,0.73553719,1.097955334,12.57194457,0
61,20,4.422987624,194302,202299.9229,14,2.890964736,72.36282063,0.194840492,0.327868852,1.041162329,5.168772902,1
211,152,3.119519905,472225,338585.3042,9,7.68044253,98.86316251,0.491330432,0.720379147,0.716999956,10.98479583,0
82,31,3.207427404,252041,166958.9854,6,1.226791853,30.26449218,0.950503562,0.37804878,0.66242788,5.04408203,1
97,109,7.244226726,83866,68834.21503,9,4.1934867,69.60861222,0.38360904,1.12371134,0.820764255,7.734290247,0
296,65,7.45837012,155400,162695.1269,9,8.021913837,64.87137174,0.424372026,0.219594595,1.046944188,7.207930194,1
200,53,2.003591435,396390,464615.6357,3,6.075036289,92.3588609,0.714696089,0.265,1.172117449,30.78628697,1
111,196,8.681228135,389119,402545.6866,8,3.350461893,24.07259275,0.603792757,1.765765766,1.034505348,3.009074094,0
265,97,7.149240402,485071,532920.7752,11,7.254578074,77.66183472,0.29892615,0.366037736,1.09864489,7.060166793,1
86,237,5.627502863,393701,363049.4143,4,6.106518497,61.14417546,0.410816396,2.755813953,0.922145014,15.28604387,0
148,64,4.715324601,187488,203384.2604,5,8.166192485,34.71992828,0.217699799,0.432432432,1.084785482,6.943985656,1
221,174,5.432328058,122516,128530.8741,12,7.615226676,52.69914227,0.966021459,0.787330317,1.049094601,4.391595189,1
153,92,1.592457383,236987,181031.9708,7,6.490971298,40.03989374,0.130634382,0.60130719,0.763889879,5.719984819,0
263,45,2.037012493,461274,408870.1422,11,5.393599078,62.13820625,0.371836785,0.171102662,0.886393211,5.648927841,1
268,66,0.911644904,483934,514580.1781,6,2.198639131,90.01005497,0.025838972,0.246268657,1.063327185,15.00167583,1
84,140,1.536580382,344746,183487.5124,3,3.351997161,61.2374486,0.221779492,1.666666667,0.532239714,20.41248287,0
242,233,4.536936346,239139,254839.7901,6,4.771895256,66.85501765,0.780471138,0.962809917,1.065655498,11.14250294,0
276,75,5.303543937,208588,130267.7296,8,6.393693583,56.68730624,0.201175232,0.27173913,0.624521687,7.08591328,1
150,113,0.178618925,179295,154243.6394,7,5.623370697,14.60489558,0.080063403,0.753333333,0.860278532,2.086413654,0
224,126,7.967978279,137969,147046.3679,3,3.593660734,30.95727012,0.47445318,0.5625,1.065792808,10.31909004,1
255,82,2.941679733,182161,123445.911,6,1.05817922,54.28015565,0.009969235,0.321568627,0.677674755,9.046692608,0
180,67,9.11836035,480562,322969.0003,8,5.466152997,37.92117554,0.084766154,0.372222222,0.672065208,4.740146942,1
50,80,9.675112636,255735,199968.1674,12,3.570633897,26.3587238,0.80762587,1.6,0.781935079,2.196560317,0
54,100,1.854588747,191559,215743.3158,12,7.611474706,55.37195577,0.771473345,1.851851852,1.126249958,4.614329648,0
267,45,4.620972908,312299,156246.2961,6,1.215516387,39.05288141,0.91513882,0.168539326,0.500309947,6.508813568,1
296,55,0.012318352,173950,196731.9128,11,6.263450302,33.22968789,0.854515436,0.185810811,1.130968168,3.020880717,1
191,20,5.983272651,379638,230692.6939,7,9.473268138,51.75868757,0.683175563,0.104712042,0.607664917,7.394098224,1
152,27,6.073064483,126229,150598.8292,10,2.569683404,21.99558323,0.052332857,0.177631579,1.193060463,2.199558323,1
76,132,2.475399556,154648,180689.6244,11,5.244845417,93.49711598,0.782848618,1.736842105,1.168392895,8.499737816,0
186,118,5.584126726,88547,74934.90281,12,1.822797926,88.09318881,0.845510811,0.634408602,0.846272633,7.341099068,1
256,199,2.255401424,78795,67677.35435,7,6.63113721,73.68585272,0.799082146,0.77734375,0.858904173,10.52655039,0
64,226,1.608254691,236368,197859.9981,8,5.954785125,19.55924448,0.508479035,3.53125,0.837084538,2.44490556,0
139,66,6.515194668,71447,67503.87951,3,4.666289718,79.8289529,0.232901839,0.474820144,0.944810552,26.60965097,1
91,146,3.25925464,217670,122658.175,13,5.692393193,82.71615953,0.845329976,1.604395604,0.563505192,6.362781502,0
173,75,5.902639389,485030,253589.4784,14,9.069171926,79.09881559,0.72716281,0.433526012,0.522832564,5.6499154,1
254,233,4.33246749,271823,146890.9882,9,2.766648721,20.25692984,0.980761174,0.917322835,0.54039205,2.250769982,0
228,33,9.843514074,306190,248337.1584,6,1.203080605,67.95171614,0.155692598,0.144736842,0.811055744,11.32528602,1
112,237,1.495806427,256402,177656.7299,13,8.754983962,85.08923162,0.225664583,2.116071429,0.692883557,6.545325509,0
145,47,4.645985966,302419,282891.1077,4,6.194053741,61.96180611,0.21179815,0.324137931,0.935427694,15.49045153,1
280,234,6.804566264,279817,334300.0569,7,9.015926099,68.17666377,0.792539768,0.835714286,1.194709603,9.739523396,1
290,97,3.955450839,400104,308250.6128,14,6.372507011,51.25271315,0.186907296,0.334482759,0.770426221,3.660908082,1
101,235,9.746998519,375422,338513.8419,5,8.29144981,57.58365879,0.06665983,2.326732673,0.901688878,11.51673176,0
145,149,7.218876279,105077,83107.7874,8,4.86706027,13.09391725,0.998560807,1.027586207,0.790922727,1.636739656,1
181,128,6.569838576,162782,177935.4036,10,7.748739382,67.50667198,0.024817211,0.70718232,1.093090167,6.750667198,1
271,173,7.570592676,152932,173052.5724,9,9.217373202,17.33024916,0.83524406,0.638376384,1.131565482,1.92558324,1
278,33,9.52648638,452744,504424.2425,5,6.149106673,49.15131349,0.365366842,0.118705036,1.114148929,9.830262698,1
200,206,9.07818653,493316,583129.3907,10,2.627066355,36.33895879,0.84161546,1.03,1.182060567,3.633895879,1
280,75,7.242853081,422013,219135.9177,4,3.419178535,59.08851552,0.554620491,0.267857143,0.51926343,14.77212888,1
286,134,7.491616391,451395,491059.6716,12,2.787801192,22.0074702,0.901631229,0.468531469,1.087871314,1.83395585,1
192,26,1.45922074,360925,370395.8601,11,3.221713248,72.24790618,0.926192986,0.135416667,1.026240521,6.567991471,1
220,22,1.027924045,236339,156004.0856,6,3.757739044,81.55103832,0.009098181,0.1,0.660086087,13.59183972,0
78,130,5.709045018,467168,546317.5018,3,5.996204081,24.70190048,0.075412176,1.666666667,1.169424065,8.233966826,0
85,170,0.183676369,365942,220928.1692,10,6.291924665,19.38817786,0.25035873,2,0.60372455,1.938817786,0
62,126,4.823563816,148696,145080.4492,9,4.838497725,23.09639345,0.669315416,2.032258065,0.975684949,2.566265939,0
209,37,2.103495799,100939,66359.63552,13,6.538787018,88.94148057,0.888272197,0.177033493,0.657423152,6.841652352,1
120,57,3.460165676,341660,273999.8587,7,1.734174331,57.53703356,0.459941951,0.475,0.801966454,8.219576223,1
236,246,7.758047358,237598,238408.6672,12,1.790094134,52.05348964,0.606973116,1.042372881,1.003411928,4.337790803,0
292,134,9.412375042,191521,171282.4491,7,2.546465143,19.60406372,0.188499853,0.45890411,0.894327249,2.800580531,1
135,34,0.724162721,100290,80156.91106,9,5.662697482,68.46004061,0.804966834,0.251851852,0.799251282,7.606671179,1
77,211,5.34242206,438832,319661.4224,7,2.925952108,88.11996327,0.967328111,2.74025974,0.728436902,12.58856618,0
115,236,8.825334858,398805,433804.8283,10,3.549559631,84.53672824,0.268598933,2.052173913,1.087761759,8.453672824,0
219,138,0.825085344,385098,231316.8331,13,4.602815526,66.34492381,0.494825952,0.630136986,0.600670045,5.103455678,0
94,248,8.245140469,334890,268271.0066,8,8.306795116,16.7750845,0.086116111,2.638297872,0.801072014,2.096885562,0
111,47,3.578013509,117990,133639.0491,7,1.124759223,20.11573245,0.559136656,0.423423423,1.1326303,2.873676064,1
234,221,3.220947022,108810,118830.8227,11,6.844409382,14.43780884,0.502783442,0.944444444,1.092094685,1.312528076,0
294,58,9.774663863,168362,131433.3499,13,7.019888779,33.17312948,0.144436484,0.197278912,0.780659234,2.551779191,1
183,204,2.008590899,196295,203003.5494,4,8.187902023,22.20953204,0.442066213,1.114754098,1.034175855,5.552383011,0
77,36,6.931939408,183669,197666.8886,3,9.394776452,33.40432362,0.334104652,0.467532468,1.076212581,11.13477454,1
77,105,8.21440728,246749,276906.9581,10,1.181240641,44.65522501,0.521830875,1.363636364,1.122221197,4.465522501,0
157,237,0.411834953,314803,277389.9347,14,2.38405335,94.86845057,0.585654335,1.50955414,0.881154038,6.776317898,0
93,145,6.703854584,136516,87796.52762,5,8.975541647,64.93384538,0.008495579,1.559139785,0.64312262,12.98676908,0
133,63,9.515499744,124567,84545.66001,13,5.12666706,85.14764071,0.761005983,0.473684211,0.678716354,6.549818516,1
79,44,1.242199667,327181,231312.4754,14,6.08131575,73.93163506,0.713014292,0.556962025,0.706986272,5.280831076,0
239,164,8.962213027,176498,161612.4652,14,6.967244834,20.12528175,0.366286386,0.686192469,0.915661737,1.437520125,1
124,32,5.947766374,227810,119137.0523,14,7.11159944,76.23283657,0.052935936,0.258064516,0.522966737,5.445202612,1
177,231,6.166045819,62109,58707.27319,9,9.38566363,34.75889934,0.75493254,1.305084746,0.945229728,3.862099927,0
299,44,6.129441749,334154,252302.2983,12,9.972544757,67.51970623,0.95517516,0.147157191,0.755047967,5.626642186,1
296,87,2.988358863,320931,226792.0728,13,7.481417148,40.68657763,0.240151596,0.293918919,0.706669262,3.129736741,1
141,157,9.352018153,289472,322948.7419,10,3.584990883,99.79050369,0.323524614,1.113475177,1.1156476,9.979050369,0
266,86,9.473504626,189544,155805.4858,8,8.917771621,33.71963315,0.183812889,0.323308271,0.822001677,4.214954144,1
